assembly	seeds	size
GCF_021631985.1	230690	10963797
GCF_018070025.1	230258	11133145
GCF_025061645.1	230059	11023148
GCA_016784735.1	229876	11659060
GCF_005405925.1	229873	11174199
GCA_020431405.1	229849	11234112
GCA_024232355.1	229778	11801619
GCF_003001815.1	229709	11152790
GCF_013364075.1	229254	10972864
GCF_002902965.1	229132	11527706
GCA_020633295.1	229110	11043955
GCF_000147815.2	228813	11138313
GCF_000331305.1	228792	11584393
GCF_000725485.1	228644	11006208
GCF_022664455.2	228643	10837179
GCA_003136315.1	228610	11592873
GCF_011045015.1	228309	11159245
GCF_006334985.2	227948	11027144
GCF_001854805.1	227899	11203906
GCA_016712345.1	227704	11504612
GCF_020010905.1	227303	11002003
GCF_900659615.1	227230	10915467
GCF_001280085.1	227184	10896489
GCA_021413675.1	227086	10778332
GCF_013044505.1	227085	10988816
GCF_000737315.1	227023	11186183
GCF_022698165.1	226879	10929167
GCF_002024165.1	226855	10958352
GCF_016862975.1	226771	11125243
GCF_000717135.1	226614	10971538
GCF_001746295.1	226574	10998901
GCF_019468465.1	226519	10984256
GCF_024505145.1	226510	11017810
GCF_014930365.1	226399	10932736
GCF_024519315.1	226315	11053136
GCF_016862215.1	226188	11100543
GCF_000379645.1	225960	10988507
GCA_003167275.1	225906	11508716
GCF_003991905.1	225757	11421054
GCF_002214185.1	225652	10989391
GCF_000716605.1	225391	10943254
GCF_009865215.1	225339	11063640
GCF_003002815.1	225048	10685010
GCF_020073745.1	225039	10899935
GCF_000384295.1	224885	10858503
GCF_014873755.1	224823	10737921
GCF_001418655.1	224621	10935515
GCF_009769385.1	224446	10832261
GCA_023402175.1	224432	11062080
GCF_024612015.1	224350	10859970
GCF_001509475.1	224325	10954269
GCA_003483885.1	224187	11439527
GCF_009765355.1	224089	10940472
GCF_900215205.1	224079	10906727
GCA_001890965.1	223955	11346547
GCF_010548375.1	223940	10943995
GCF_018332695.1	223913	10945774
GCF_900111765.1	223742	10824667
GCF_008923365.1	223694	10704999
GCF_014645835.1	223643	10892780
GCF_017948485.1	223526	10880885
GCF_016862375.1	223167	10908275
GCF_018883605.1	223158	10915148
GCF_018927715.1	223073	10791795
GCF_004364325.1	222917	10706011
GCF_013426915.1	222692	11246397
GCF_002646595.1	222626	11332409
GCA_012728855.1	222581	11311919
GCA_016929905.1	222540	11135617
GCF_004208415.1	222421	11340617
GCF_003148685.1	222382	10797414
GCF_000331005.1	222344	10825282
GCF_902497555.1	222239	10560374
GCF_001542625.1	222172	10764674
GCA_903923175.1	222087	10709621
GCA_913057785.1	222047	11357224
GCF_003611695.1	221893	10793792
GCF_022213955.1	221825	10827354
GCF_017573545.1	221605	10586883
GCF_000974445.1	221580	10698154
GCA_024519455.1	221335	10727549
GCF_017308975.1	221119	10575343
GCF_016862435.1	221017	10792567
GCF_002234595.1	220833	10670026
GCF_024539815.1	220821	10871925
GCA_001298575.1	220803	10668107
GCF_003963535.1	220685	10677137
GCF_016786325.1	220474	10728764
GCF_023094165.1	220359	10681678
GCA_016715885.1	220318	11097727
GCF_004348685.1	220233	10694046
GCF_011764445.1	220215	10714690
GCF_015704865.1	220196	10742306
GCF_021462265.1	220194	10659425
GCF_001514305.1	220116	10773767
GCF_016862115.1	220087	10634869
GCF_000720765.1	219875	10697161
GCF_009649845.1	219854	10760459
GCF_900103585.1	219837	10622898
GCF_000170895.1	219655	10587646
GCF_014649375.1	219632	10609595
GCA_016793465.1	219614	10546149
GCF_024448165.1	219539	10521338
GCF_014647875.1	219057	10696112
GCF_016785085.1	219037	10674089
GCF_900188345.1	219032	10782574
GCA_013214355.1	218966	11191412
GCF_021173675.1	218890	10537973
GCF_024703995.1	218580	10438610
GCF_008923185.1	218578	10704726
GCF_019710575.1	218572	10686494
GCA_022601155.1	218457	10826004
GCF_019599145.1	218413	10549378
GCF_000737325.1	218412	10327335
GCF_003265345.1	218402	10581732
GCF_024435355.1	218398	10568035
GCF_002904335.1	218211	10492049
GCF_013177735.1	218083	11075029
GCF_014873495.1	217952	10497710
GCA_020632795.1	217846	10363677
GCF_900104725.1	217812	10654181
GCF_900105945.1	217645	10363431
GCA_023954375.1	217316	10119151
GCA_010692555.1	217273	11062972
GCA_024224995.1	217252	11171350
GCF_020982545.1	217171	10497705
GCF_014203355.1	217085	10435448
GCF_002242805.1	217036	10520052
GCF_020859565.1	216970	10305394
GCF_018332715.1	216795	10606845
GCF_001550375.1	216769	10499951
GCF_014648915.1	216723	10444272
GCF_000158915.1	216615	11030030
GCF_015163075.1	216597	10454561
GCF_003612055.1	216541	10526383
GCA_000720805.1	216498	10530441
GCF_009793335.1	216331	10334982
GCF_007754155.1	216304	10975817
GCF_014132355.1	216264	10982302
GCA_025137375.1	216245	10494953
GCF_021261325.1	216226	10492733
GCA_903863885.1	216184	10998233
GCA_021324445.1	216163	10819421
GCF_003611675.1	216159	10502351
GCF_003955715.1	215902	10393987
GCF_019468565.1	215897	10329491
GCF_016862175.1	215853	10509825
GCF_024198235.1	215825	10408129
GCF_008087625.1	215662	10526296
GCF_001552175.1	215624	10258935
GCF_014873875.1	215601	10562590
GCF_900113015.1	215558	10381230
GCF_016862955.1	215555	10769095
GCA_016213775.1	215518	10956185
GCF_003937945.1	215472	10230128
GCF_000383615.1	215315	10479972
GCF_014205215.1	215310	10405733
GCF_007829815.1	215289	10089953
GCF_008369935.1	215158	10914015
GCF_009429145.1	215150	10352908
GCF_016587415.1	214851	11008587
GCF_019396325.1	214823	10309590
GCF_002994635.1	214732	10602692
GCF_001685355.1	214729	10319054
GCF_004023625.1	214692	10446772
GCF_003612125.1	214587	10510652
GCF_900107925.1	214574	10299026
GCF_014205225.1	214569	10277926
GCF_000716535.1	214461	10347389
GCA_903892415.1	214441	10852174
GCF_023008405.1	214373	10190959
GCF_018736145.1	214334	10375238
GCF_018069625.1	214308	10360357
GCF_000024865.1	214302	10369518
GCF_000024025.1	214298	10467782
GCA_001464385.1	214281	10242556
GCF_016862095.1	214265	10358347
GCF_009909105.1	214256	10409496
GCF_003611735.1	214191	10393104
GCF_000317595.1	214171	10403856
GCA_913061055.1	214143	10652985
GCF_002262885.1	214085	10179404
GCF_012689525.1	214050	10840732
GCF_001279775.1	214011	10362086
GCF_011045025.1	213919	10480775
GCF_002803155.1	213824	10358718
GCF_007827595.1	213814	10322851
GCF_002154505.1	213781	10405645
GCA_010672455.1	213770	10878141
GCF_000220945.1	213734	10236779
GCF_017377855.1	213691	10848561
GCF_000331735.1	213650	10350586
GCA_014138725.1	213495	10249642
GCF_016863615.1	213487	10286142
GCA_019637375.1	213471	10089580
GCF_001984175.1	213455	10300059
GCF_019049245.1	213298	10363978
GCF_010550245.1	213125	10541631
GCF_017301635.1	213069	10367629
GCF_002291145.1	213065	10356278
GCF_000720325.1	213037	10230785
GCF_002155975.1	212942	10183912
GCF_002904295.1	212838	10162752
GCF_900115095.1	212838	10255144
GCF_023101685.1	212775	10772313
GCF_001613065.1	212562	10520083
GCF_014195505.1	212548	10244150
GCA_016793325.1	212546	10377599
GCF_005768555.2	212525	10364704
GCF_000962825.1	212432	10320296
GCF_024172125.1	212413	10242436
GCF_001866665.1	212321	10254857
GCF_900230185.1	212198	10756907
GCF_001514235.1	212068	10290495
GCA_007753675.1	211997	10769056
GCF_013280595.1	211951	10350595
GCA_016714225.1	211861	10134447
GCF_001514205.1	211837	10217879
GCF_009377205.1	211746	10267250
GCF_001270495.1	211653	10292007
GCF_003024195.1	211645	10239468
GCA_001803235.1	211584	10641996
GCF_003611635.1	211527	10351705
GCF_003261055.1	211427	10239272
GCF_000091305.1	211391	10148695
GCF_021538895.1	211249	10248371
GCF_009377175.1	211246	10226955
GCF_014647675.1	211233	10275661
GCF_011067745.1	211232	10211123
GCF_009184865.1	211176	10175440
GCF_900129635.1	211108	10689158
GCA_900105395.1	210977	9900053
GCF_014698065.1	210900	10844745
GCF_000308615.1	210888	10445918
GCF_000955955.1	210884	10250719
GCF_014655715.1	210816	10216859
GCF_004348985.1	210801	10298286
GCF_014650595.1	210790	10244856
GCA_002731275.1	210714	10752934
GCF_008704495.1	210660	10133897
GCF_009377235.1	210630	10256521
GCF_002954775.1	210567	10196536
GCF_002150765.1	210505	10210611
GCF_000685075.1	210483	10647665
GCF_013761175.1	210429	10086809
GCA_016794525.1	210385	9798296
GCF_000737335.2	210373	10435313
GCA_024226315.1	210362	10515415
GCA_019359035.1	210309	10657584
GCA_019637155.1	210301	10110631
GCF_900115955.1	210231	10153412
GCF_022385335.1	210215	10101518
GCF_021412625.1	210141	10122657
GCA_019637195.1	210115	10095098
GCF_014204915.1	210089	10058141
GCF_001514065.1	210088	10145887
GCF_018829635.1	209965	10192286
GCF_011764565.1	209939	10148719
GCA_001298545.1	209900	10138599
GCF_014493765.1	209806	10155139
GCF_018476525.1	209725	10292507
GCA_004173515.1	209700	10201721
GCA_003135055.1	209632	10710138
GCF_003688995.1	209608	10126223
GCF_001514035.1	209587	10159272
GCF_004349215.1	209474	10227186
GCF_016587375.1	209472	10717923
GCA_016720595.1	209444	10125364
GCF_001701025.1	209416	9997872
GCF_001005085.2	209413	10014215
GCF_003611585.1	209389	10148184
GCF_018531465.1	209374	10134050
GCA_012719125.1	209360	10653706
GCF_900111685.1	209276	10051191
GCA_016707895.1	209010	9739973
GCF_900105905.1	209008	10311574
GCF_013085465.1	208958	10044300
GCF_020400595.1	208855	10029879
GCF_023516595.1	208852	10065858
GCF_011516635.5	208833	10580853
GCF_000255295.1	208725	10080619
GCF_014489635.1	208671	9947447
GCF_016103465.1	208496	10160735
GCF_001083785.1	208409	9986141
GCF_019049285.1	208314	10128675
GCF_008923205.2	208303	9999585
GCF_000721105.1	208114	10063079
GCF_017309385.1	208070	9926854
GCF_000620785.1	207956	9931328
GCF_900106995.1	207775	10151409
GCF_016587355.1	207718	10667638
GCA_001942465.1	207524	9956240
GCF_000744705.1	207520	9915093
GCA_003235365.1	207399	10421112
GCF_003999975.1	207270	10124196
GCA_016893485.2	207261	9998232
GCF_015160855.1	207193	9959088
GCA_023382975.1	207170	10457415
GCF_001507435.1	207160	10162813
GCF_000716785.1	207119	9837652
GCF_002803065.1	207072	10064235
GCF_020616555.1	206756	10018810
GCA_010672085.1	206665	10545295
GCF_000165485.1	206594	10260756
GCF_008704715.1	206538	9912098
GCF_009769735.1	206443	10043478
GCF_900188005.1	206129	10031706
GCF_000717335.1	206068	10103604
GCA_020854145.1	206033	10053937
GCF_024199925.1	206007	10444098
GCF_001953885.1	206005	9989486
GCF_001279525.1	205941	9869396
GCF_014647795.1	205879	9976112
GCF_018324205.1	205814	9897806
GCF_024172185.1	205743	9752649
GCF_000725495.1	205662	9928053
GCF_003612165.1	205634	9981836
GCA_020632715.1	205624	9560045
GCF_024137025.1	205587	10010471
GCF_011516645.4	205580	10410654
GCF_008704795.1	205476	9807160
GCF_003751225.1	205334	9800715
GCF_012184385.1	205159	9967719
GCF_008386495.1	205075	10008136
GCF_000710465.2	204955	9851701
GCF_900142905.1	204930	10416547
GCF_023498005.1	204849	9862620
GCF_013363975.1	204700	9762852
GCF_018128905.1	204676	9796466
GCF_003032475.1	204596	9851971
GCF_018332655.1	204595	9878734
GCF_008042075.1	204538	9904848
GCF_900110575.1	204472	9861953
GCF_008042115.1	204466	9853771
GCF_014596465.1	204417	9741301
GCF_000720255.1	204406	9889723
GCF_900188405.1	204399	9808662
GCF_018327685.1	204360	9790272
GCF_017302985.1	204358	9811739
GCF_001514195.1	204303	9866755
GCF_021474425.1	204283	9891217
GCF_016917755.1	204229	9857535
GCF_004349235.1	204221	9886063
GCA_016717005.1	204188	9510879
GCF_016919245.1	204103	9733137
GCF_003236395.1	204039	9868672
GCF_000235425.2	204033	9978592
GCF_020521235.1	203971	10563636
GCA_019634415.1	203908	9824506
GCF_009755605.1	203896	9812178
GCF_014650115.1	203860	9763431
GCF_012273515.1	203800	9856149
GCF_900290235.1	203625	9813744
GCF_017377775.1	203620	9754147
GCA_011526095.1	203581	9530896
GCF_004028635.1	203495	9833661
GCA_001704275.1	203361	9815884
GCF_014203735.1	203318	9733683
GCF_001419765.1	203280	9848803
GCA_016793725.1	203195	9754155
GCF_016862935.1	203076	9841081
GCF_023897065.1	203038	9719922
GCA_017592665.1	203027	9965261
GCF_000504285.1	202992	9918887
GCF_014653695.1	202971	9738650
GCF_016889705.1	202950	9798102
GCA_016704445.1	202935	9763740
GCA_005804885.1	202889	9863574
GCF_014654675.1	202819	9813663
GCF_011064615.1	202814	10042636
GCF_017309135.1	202793	9785177
GCF_000308835.1	202782	10155283
GCF_020216025.1	202780	9743280
GCF_014648975.1	202716	9615257
GCF_013363995.1	202630	9611123
GCF_016741875.1	202599	9896405
GCF_001513965.1	202589	9835283
GCF_008704205.1	202573	10032764
GCF_001905545.1	202559	9543510
GCF_000716675.1	202392	9717375
GCF_900115345.1	202271	9873592
GCF_014646335.1	202230	9746447
GCF_021502675.1	202194	9708286
GCF_004348425.1	202169	9799144
GCF_014205015.1	202097	9689237
GCF_009796285.1	201938	9735779
GCF_003259845.1	201914	9887594
GCF_014649775.1	201914	9802249
GCA_014650415.1	201871	9703912
GCF_003846175.1	201830	10032992
GCF_020181035.1	201717	9750154
GCF_008120935.1	201687	9709490
GCF_009604455.1	201687	9752269
GCF_014649655.1	201658	9711080
GCF_002305855.1	201656	9910441
GCF_008327685.1	201557	9647290
GCA_016903675.1	201542	10354469
GCF_013364155.1	201379	9771669
GCF_011801145.1	201375	10014015
GCF_000384215.1	201333	9811274
GCF_001921215.1	201293	9535536
GCF_003315795.1	201278	9809379
GCF_016862915.1	201191	9685699
GCA_013298625.1	201158	9811402
GCF_014648475.1	201138	9721257
GCF_004362215.1	201132	9750342
GCA_016709225.1	201119	9612643
GCA_011772425.1	201106	10383395
GCA_902825945.1	201091	10154779
GCF_002556545.1	201083	9611874
GCF_013409365.1	201054	9622362
GCF_000729995.1	201046	10261891
GCF_010233585.1	200953	10326072
GCF_014650955.1	200944	9713444
GCF_001735805.1	200926	9698948
GCF_014873535.1	200913	9694534
GCF_016918855.1	200913	9687523
GCF_900107965.1	200912	9592053
GCF_004187715.1	200893	9724482
GCF_014874095.1	200868	9715930
GCF_017592555.1	200761	9683788
GCA_019636275.1	200734	9328623
GCF_017614965.1	200707	9678057
GCF_003143935.1	200639	9621493
GCF_004348995.1	200518	9687995
GCF_017876755.1	200488	9440186
GCF_900109465.1	200477	9538627
GCF_008085905.1	200462	9698644
GCA_013368795.1	200427	9805008
GCF_014648655.1	200424	9827082
GCF_901538265.1	200377	10135216
GCF_001513955.1	200359	9639743
GCA_000415505.1	200065	9848774
GCF_019038435.1	200065	9979850
GCF_016786355.1	200012	9788632
GCF_017068395.1	199941	9866560
GCF_014203855.1	199936	9567486
GCF_014655955.1	199852	9417550
GCF_017874215.1	199806	10264536
GCA_016709545.1	199793	9539074
GCF_002911015.1	199677	9587301
GCA_022842465.1	199666	9571116
GCA_006226375.1	199650	10206627
GCF_014647975.1	199610	9605331
GCA_022843175.1	199561	9753182
GCA_022616415.1	199507	10265123
GCF_006547145.1	199472	9528492
GCF_003285015.1	199448	10232629
GCA_014208095.1	199322	9624083
GCF_020103755.1	199320	9558926
GCA_013297655.1	199274	9921457
GCF_002902925.1	199272	10062489
GCF_024171695.1	199181	9353349
GCA_016182965.1	199134	9585876
GCF_002920615.1	199087	9536025
GCF_019083965.1	199036	9586736
GCF_003385235.1	199035	9804613
GCF_001641635.1	199013	10111113
GCF_014650875.1	198999	9510939
GCF_002813575.1	198991	10231233
GCF_022479115.1	198832	9660487
GCF_000720725.1	198743	9639708
GCF_003634995.1	198658	9408895
GCF_014145675.1	198623	9690793
GCF_000349325.1	198617	9555950
GCF_900143005.1	198591	9579923
GCF_020037015.1	198545	9503344
GCF_001613225.1	198459	9938506
GCF_023516615.1	198424	9519748
GCF_900111005.1	198358	9441135
GCF_001905005.1	198346	9573831
GCF_014495685.1	198249	9669748
GCF_017104715.1	198229	10027911
GCF_001905125.1	198216	9627007
GCF_003933965.1	198189	9590268
GCA_017857395.1	198139	10153586
GCF_014646515.1	198007	9635644
GCF_022288725.1	198004	9294085
GCF_001612685.1	197987	9829580
GCF_000328705.1	197979	9360653
GCF_013364275.1	197934	9430849
GCF_020176955.1	197915	9704651
GCF_009690905.1	197889	10085209
GCF_023544445.1	197825	9584684
GCF_014649795.1	197812	9581670
GCF_000718025.1	197801	9343474
GCF_009362735.1	197790	10047340
GCF_006715395.1	197716	9466072
GCA_004297725.1	197640	9392876
GCA_016794345.1	197622	9664394
GCF_000472925.1	197542	10034502
GCF_016904885.1	197524	9491554
GCF_017875555.1	197409	9443615
GCF_001419795.1	197319	9549495
GCF_900105755.1	197308	9458099
GCF_010548275.1	197307	9604704
GCA_016789745.1	197295	10058487
GCF_002149035.1	197270	9581188
GCF_004348455.1	197252	9727339
GCF_013128195.2	197155	9857393
GCF_021245725.1	197107	9382559
GCA_016879935.1	197096	9527372
GCA_016789785.1	197050	10127521
GCA_016703535.1	197022	9757120
GCF_014174495.1	197014	9663932
GCA_000696115.1	196924	9381854
GCA_002368275.1	196922	10126555
GCA_019637095.1	196907	9253515
GCA_020638995.1	196876	10121721
GCA_010672385.1	196846	10181347
GCF_001418565.1	196816	9608680
GCF_000497445.1	196810	9782257
GCA_016209525.1	196785	10091789
GCA_900290305.1	196767	10082265
GCA_002699025.1	196760	9253999
GCF_001544555.2	196743	10051569
GCF_024295805.1	196657	9521471
GCF_000429025.1	196655	9537556
GCF_018139695.1	196648	9624076
GCF_014656195.1	196603	9266420
GCF_003668875.1	196602	9471940
GCF_004339745.1	196587	9968587
GCF_011764545.1	196563	9607004
GCA_016926755.1	196549	9592223
GCA_001465015.1	196544	9697468
GCA_019634045.1	196502	10163052
GCA_903847385.1	196474	9484611
GCF_001552135.1	196470	9408892
GCF_000428945.1	196449	9478888
GCF_001625365.1	196445	9234445
GCA_020632995.1	196420	9345757
GCF_002300355.1	196400	9254774
GCF_019192735.1	196314	9428433
GCF_014654205.1	196300	9379520
GCF_007992495.1	196243	9846332
GCF_900119165.1	196220	9312140
GCF_014084105.1	196208	9330052
GCF_003268775.1	196200	9831033
GCF_019396385.1	196189	9393786
GCF_008123425.1	196110	9952932
GCF_003752005.1	196067	9178199
GCA_020636375.1	196060	10052030
GCF_002077945.1	195995	10058349
GCA_017303575.1	195980	9386669
GCF_019968905.1	195976	9431171
GCF_024055715.1	195855	9424154
GCF_000308715.1	195850	9731570
GCF_014930455.1	195831	9437609
GCF_001280015.1	195817	9453902
GCF_000716445.1	195807	9380839
GCF_005889745.1	195702	9420971
GCA_010672525.1	195697	10005084
GCF_001894825.1	195657	9727115
GCF_000014565.1	195656	9702737
GCF_006716445.1	195646	9138787
GCF_001514285.1	195642	9379038
GCF_004522235.1	195615	9571567
GCF_000719285.1	195605	9481884
GCF_014203595.1	195603	9391279
GCF_012933445.1	195577	9656845
GCF_001553455.1	195539	9464604
GCF_016863095.1	195528	9393388
GCF_007483665.1	195440	9454573
GCF_022698145.1	195438	9406843
GCF_000787855.1	195429	9386419
GCF_001536285.1	195329	9537992
GCF_016864375.1	195301	9951011
GCA_016806145.1	195297	9439028
GCF_007845675.1	195229	9370857
GCF_016862455.1	195220	9417079
GCF_000518265.1	195197	9353665
GCA_013361685.1	195170	9528786
GCA_000715615.1	195158	10199242
GCF_003865135.1	195142	9377418
GCF_003696215.1	195106	9356375
GCF_016862635.1	195090	9352350
GCA_020633195.1	195079	9198351
GCF_008824145.1	195074	9187113
GCF_019090165.1	195061	9426047
GCF_000372465.1	195048	9627810
GCF_014648495.1	195029	9265610
GCF_002849735.1	195003	9488490
GCF_008705135.1	194979	9335698
GCA_000423665.1	194896	9313965
GCF_019049255.1	194808	9357728
GCF_015291705.1	194800	9865973
GCF_022808175.1	194795	9384889
GCF_001904745.1	194776	9990453
GCF_007990755.1	194762	9698742
GCF_000818195.1	194728	9803944
GCF_016741855.1	194703	9364856
GCA_001942185.1	194702	9203094
GCF_014654365.1	194685	9448616
GCF_007713735.2	194658	9465182
GCA_003610235.1	194651	9327955
GCA_015075635.1	194563	9474575
GCF_006716425.1	194529	9466640
GCF_002368195.1	194526	9963103
GCF_008035925.1	194519	9894293
GCF_003143855.1	194507	9425309
GCF_000280925.3	194421	9490432
GCF_900109355.1	194420	9204326
GCF_900116445.1	194397	9892286
GCF_001279695.1	194363	9486712
GCF_004331465.1	194303	9491812
GCF_900129855.1	194256	9375551
GCF_014596515.1	194254	9167493
GCF_014650815.1	194230	9312928
GCF_008704655.1	194198	9361154
GCA_000719695.1	194196	9138054
GCF_000472865.1	194175	9902361
GCF_000255705.1	194134	10086423
GCF_016863175.1	194131	9274863
GCF_001188955.3	194067	9228164
GCF_000695625.1	194045	9202418
GCF_003443735.1	194000	9320089
GCA_023430775.1	193975	9429401
GCF_014203895.1	193964	9225538
GCF_000494755.1	193886	9376071
GCF_001983105.1	193804	9435764
GCF_000760695.4	193721	9949079
GCF_001905825.1	193631	9201655
GCF_014207745.1	193618	9231644
GCF_004001265.1	193614	9293892
GCA_010671925.1	193584	9938825
GCF_016907955.1	193525	9332327
GCF_018860155.1	193520	9588249
GCA_016706225.1	193378	9628654
GCF_023544465.1	193288	9353428
GCF_003389455.1	193261	9477917
GCA_024349765.1	193212	9326742
GCA_020848455.1	193171	9207048
GCF_014257025.1	193163	9399224
GCF_014697215.1	193144	9608180
GCF_010811875.1	193136	9972761
GCF_003269295.1	193094	9306230
GCF_004197395.1	193088	9831543
GCF_014204895.1	193078	9330741
GCF_016862195.1	193057	9409405
GCF_004361855.1	193048	9457695
GCF_000830005.1	193014	9153777
GCF_018327705.1	192969	9171706
GCF_900107045.1	192967	9406090
GCF_016107395.1	192889	9398443
GCF_014649495.1	192879	9249383
GCF_900091725.1	192837	9324761
GCF_004571025.1	192805	9787683
GCF_000721075.1	192800	9441077
GCF_008386585.1	192773	9295578
GCF_001418475.1	192755	9298634
GCF_013393905.1	192702	9879831
GCF_000744095.1	192699	9741376
GCF_022524485.1	192682	9366278
GCA_021413735.1	192626	9797810
GCA_017644045.1	192621	9263423
GCF_021390395.1	192603	9078361
GCA_020633235.1	192586	9518332
GCF_008634025.1	192525	9252595
GCF_904848645.1	192517	9749118
GCF_007752535.1	192516	9395224
GCF_001189845.1	192493	9767314
GCF_004348735.1	192489	9380427
GCF_000585375.1	192372	9195993
GCF_000024805.1	192366	9446314
GCF_000974985.2	192345	9165825
GCF_002289565.1	192331	9795212
GCF_020400655.1	192307	9172287
GCF_014649115.1	192255	9167999
GCF_007995085.1	192199	9704342
GCF_016598475.1	192133	9321252
GCA_021732415.1	192100	9868874
GCF_025060895.1	192093	9813311
GCF_000013645.1	192013	9731138
GCF_002943525.1	191968	8963858
GCF_020889705.1	191937	9758985
GCF_020829645.1	191925	9882092
GCF_009733595.1	191923	9160916
