assembly	ident	qlen	queries	tool	hits	recall	genome_size
GCF_000240185.1	100	Query length: 250 bp	681794	COBS	681794	100.00	5682322
GCF_001457635.1	100	Query length: 250 bp	253294	COBS	253294	100.00	2110968
GCF_008632635.1	100	Query length: 250 bp	477603	COBS	477603	100.00	3980230
GCF_018885085.1	100	Query length: 250 bp	491479	COBS	491479	100.00	4095894
GCF_022869705.1	100	Query length: 250 bp	344016	COBS	344016	100.00	2866948
GCF_000005845.2	100	Query length: 250 bp	556981	LexicMap	556981	100.0000	4641652
GCF_000006765.1	100	Query length: 250 bp	751717	LexicMap	751717	100.0000	6264404
GCF_000006945.2	100	Query length: 250 bp	594141	LexicMap	594141	100.0000	4951383
GCF_000013425.1	100	Query length: 250 bp	338550	LexicMap	338532	99.9947	2821361
GCF_000195955.2	100	Query length: 250 bp	529369	LexicMap	529288	99.9847	4411532
GCF_000240185.1	100	Query length: 250 bp	681794	LexicMap	681794	100.0000	5682322
GCF_001457635.1	100	Query length: 250 bp	253294	LexicMap	253252	99.9834	2110968
GCF_008632635.1	100	Query length: 250 bp	477603	LexicMap	477591	99.9975	3980230
GCF_018885085.1	100	Query length: 250 bp	491479	LexicMap	491458	99.9957	4095894
GCF_022869705.1	100	Query length: 250 bp	344016	LexicMap	344010	99.9983	2866948
GCF_000005845.2	100	Query length: 250 bp	556981	MMseqs2	556863	99.9788	4641652
GCF_000006765.1	100	Query length: 250 bp	751717	MMseqs2	751429	99.9617	6264404
GCF_000006945.2	100	Query length: 250 bp	594141	MMseqs2	593379	99.8717	4951383
GCF_000013425.1	100	Query length: 250 bp	338550	MMseqs2	337723	99.7557	2821361
GCF_000195955.2	100	Query length: 250 bp	529369	MMseqs2	527862	99.7153	4411532
GCF_000240185.1	100	Query length: 250 bp	681794	MMseqs2	681222	99.9161	5682322
GCF_001457635.1	100	Query length: 250 bp	253294	MMseqs2	252669	99.7533	2110968
GCF_008632635.1	100	Query length: 250 bp	477603	MMseqs2	476583	99.7864	3980230
GCF_018885085.1	100	Query length: 250 bp	491479	MMseqs2	488081	99.3086	4095894
GCF_022869705.1	100	Query length: 250 bp	344016	MMseqs2	343878	99.9599	2866948
GCF_000005845.2	100	Query length: 250 bp	556981	Minimap2	556281	99.8743	4641652
GCF_000006765.1	100	Query length: 250 bp	751717	Minimap2	751717	100.0000	6264404
GCF_000006945.2	100	Query length: 250 bp	594141	Minimap2	593967	99.9707	4951383
GCF_000013425.1	100	Query length: 250 bp	338550	Minimap2	338550	100.0000	2821361
GCF_000195955.2	100	Query length: 250 bp	529369	Minimap2	528047	99.7503	4411532
GCF_000240185.1	100	Query length: 250 bp	681794	Minimap2	680204	99.7668	5682322
GCF_001457635.1	100	Query length: 250 bp	253294	Minimap2	253213	99.9680	2110968
GCF_008632635.1	100	Query length: 250 bp	477603	Minimap2	477273	99.9309	3980230
GCF_018885085.1	100	Query length: 250 bp	491479	Minimap2	488758	99.4464	4095894
GCF_022869705.1	100	Query length: 250 bp	344016	Minimap2	343870	99.9576	2866948
GCF_000005845.2	100	Query length: 250 bp	556981	Ropebwt3	551005	98.9271	4641652
GCF_000006765.1	100	Query length: 250 bp	751717	Ropebwt3	747816	99.4811	6264404
GCF_000006945.2	100	Query length: 250 bp	594141	Ropebwt3	589221	99.1719	4951383
GCF_000013425.1	100	Query length: 250 bp	338550	Ropebwt3	336498	99.3939	2821361
GCF_000195955.2	100	Query length: 250 bp	529369	Ropebwt3	525036	99.1815	4411532
GCF_000240185.1	100	Query length: 250 bp	681794	Ropebwt3	672409	98.6235	5682322
GCF_001457635.1	100	Query length: 250 bp	253294	Ropebwt3	249640	98.5574	2110968
GCF_008632635.1	100	Query length: 250 bp	477603	Ropebwt3	472766	98.9872	3980230
GCF_018885085.1	100	Query length: 250 bp	491479	Ropebwt3	485524	98.7884	4095894
GCF_022869705.1	100	Query length: 250 bp	344016	Ropebwt3	341176	99.1745	2866948
GCF_000005845.2	100	Query length: 500 bp	278489	Blastn	278489	100.0000	4641652
GCF_000006765.1	100	Query length: 500 bp	375856	Blastn	375856	100.0000	6264404
GCF_000006945.2	100	Query length: 500 bp	297059	Blastn	297059	100.0000	4951383
GCF_000013425.1	100	Query length: 500 bp	169266	Blastn	169266	100.0000	2821361
GCF_000195955.2	100	Query length: 500 bp	264677	Blastn	264278	99.8493	4411532
GCF_000240185.1	100	Query length: 500 bp	340839	Blastn	340839	100.0000	5682322
GCF_001457635.1	100	Query length: 500 bp	126640	Blastn	126640	100.0000	2110968
GCF_008632635.1	100	Query length: 500 bp	238784	Blastn	238784	100.0000	3980230
GCF_018885085.1	100	Query length: 500 bp	245713	Blastn	245705	99.9967	4095894
GCF_022869705.1	100	Query length: 500 bp	172001	Blastn	172001	100.0000	2866948
GCF_000005845.2	100	Query length: 500 bp	278489	Blastn(ws=15)	278489	100.0000	4641652
GCF_000006765.1	100	Query length: 500 bp	375856	Blastn(ws=15)	375856	100.0000	6264404
GCF_000006945.2	100	Query length: 500 bp	297059	Blastn(ws=15)	297059	100.0000	4951383
GCF_000013425.1	100	Query length: 500 bp	169266	Blastn(ws=15)	169266	100.0000	2821361
GCF_000195955.2	100	Query length: 500 bp	264677	Blastn(ws=15)	264600	99.9709	4411532
GCF_000240185.1	100	Query length: 500 bp	340839	Blastn(ws=15)	340839	100.0000	5682322
GCF_001457635.1	100	Query length: 500 bp	126640	Blastn(ws=15)	126640	100.0000	2110968
GCF_008632635.1	100	Query length: 500 bp	238784	Blastn(ws=15)	238784	100.0000	3980230
GCF_018885085.1	100	Query length: 500 bp	245713	Blastn(ws=15)	245711	99.9992	4095894
GCF_022869705.1	100	Query length: 500 bp	172001	Blastn(ws=15)	172001	100.0000	2866948
GCF_000005845.2	100	Query length: 500 bp	278489	COBS	278489	100.00	4641652
GCF_000006765.1	100	Query length: 500 bp	375856	COBS	375856	100.00	6264404
GCF_000006945.2	100	Query length: 500 bp	297059	COBS	297059	100.00	4951383
GCF_000013425.1	100	Query length: 500 bp	169266	COBS	169266	100.00	2821361
GCF_000195955.2	100	Query length: 500 bp	264677	COBS	264677	100.00	4411532
GCF_000240185.1	100	Query length: 500 bp	340839	COBS	340839	100.00	5682322
GCF_001457635.1	100	Query length: 500 bp	126640	COBS	126640	100.00	2110968
GCF_008632635.1	100	Query length: 500 bp	238784	COBS	238784	100.00	3980230
GCF_018885085.1	100	Query length: 500 bp	245713	COBS	245713	100.00	4095894
GCF_022869705.1	100	Query length: 500 bp	172001	COBS	172001	100.00	2866948
GCF_000005845.2	100	Query length: 500 bp	278489	LexicMap	278489	100.0000	4641652
GCF_000006765.1	100	Query length: 500 bp	375856	LexicMap	375856	100.0000	6264404
GCF_000006945.2	100	Query length: 500 bp	297059	LexicMap	297059	100.0000	4951383
GCF_000013425.1	100	Query length: 500 bp	169266	LexicMap	169266	100.0000	2821361
GCF_000195955.2	100	Query length: 500 bp	264677	LexicMap	264669	99.9970	4411532
GCF_000240185.1	100	Query length: 500 bp	340839	LexicMap	340839	100.0000	5682322
GCF_001457635.1	100	Query length: 500 bp	126640	LexicMap	126640	100.0000	2110968
GCF_008632635.1	100	Query length: 500 bp	238784	LexicMap	238784	100.0000	3980230
GCF_018885085.1	100	Query length: 500 bp	245713	LexicMap	245713	100.0000	4095894
GCF_022869705.1	100	Query length: 500 bp	172001	LexicMap	172001	100.0000	2866948
GCF_000005845.2	100	Query length: 500 bp	278489	MMseqs2	278451	99.9864	4641652
GCF_000006765.1	100	Query length: 500 bp	375856	MMseqs2	375792	99.9830	6264404
GCF_000006945.2	100	Query length: 500 bp	297059	MMseqs2	296791	99.9098	4951383
GCF_000013425.1	100	Query length: 500 bp	169266	MMseqs2	169034	99.8629	2821361
GCF_000195955.2	100	Query length: 500 bp	264677	MMseqs2	264324	99.8666	4411532
GCF_000240185.1	100	Query length: 500 bp	340839	MMseqs2	340640	99.9416	5682322
GCF_001457635.1	100	Query length: 500 bp	126640	MMseqs2	126456	99.8547	2110968
GCF_008632635.1	100	Query length: 500 bp	238784	MMseqs2	238451	99.8605	3980230
GCF_018885085.1	100	Query length: 500 bp	245713	MMseqs2	244609	99.5507	4095894
GCF_022869705.1	100	Query length: 500 bp	172001	MMseqs2	171987	99.9919	2866948
GCF_000005845.2	100	Query length: 500 bp	278489	Minimap2	278280	99.9250	4641652
GCF_000006765.1	100	Query length: 500 bp	375856	Minimap2	375856	100.0000	6264404
GCF_000006945.2	100	Query length: 500 bp	297059	Minimap2	297032	99.9909	4951383
GCF_000013425.1	100	Query length: 500 bp	169266	Minimap2	169266	100.0000	2821361
GCF_000195955.2	100	Query length: 500 bp	264677	Minimap2	264161	99.8050	4411532
GCF_000240185.1	100	Query length: 500 bp	340839	Minimap2	340141	99.7952	5682322
GCF_001457635.1	100	Query length: 500 bp	126640	Minimap2	126624	99.9874	2110968
GCF_008632635.1	100	Query length: 500 bp	238784	Minimap2	238781	99.9987	3980230
GCF_018885085.1	100	Query length: 500 bp	245713	Minimap2	244591	99.5434	4095894
GCF_022869705.1	100	Query length: 500 bp	172001	Minimap2	171992	99.9948	2866948
GCF_000005845.2	100	Query length: 500 bp	278489	Ropebwt3	276362	99.2362	4641652
GCF_000006765.1	100	Query length: 500 bp	375856	Ropebwt3	374385	99.6086	6264404
GCF_000006945.2	100	Query length: 500 bp	297059	Ropebwt3	295053	99.3247	4951383
GCF_000013425.1	100	Query length: 500 bp	169266	Ropebwt3	168545	99.5740	2821361
GCF_000195955.2	100	Query length: 500 bp	264677	Ropebwt3	263151	99.4234	4411532
GCF_000240185.1	100	Query length: 500 bp	340839	Ropebwt3	336890	98.8414	5682322
GCF_001457635.1	100	Query length: 500 bp	126640	Ropebwt3	125045	98.7405	2110968
GCF_008632635.1	100	Query length: 500 bp	238784	Ropebwt3	236718	99.1348	3980230
GCF_018885085.1	100	Query length: 500 bp	245713	Ropebwt3	243071	98.9248	4095894
GCF_022869705.1	100	Query length: 500 bp	172001	Ropebwt3	170857	99.3349	2866948
GCF_000005845.2	100	Query length: 1000 bp	46416	Blastn	46416	100.0000	4641652
GCF_000006765.1	100	Query length: 1000 bp	62643	Blastn	62643	100.0000	6264404
GCF_000006945.2	100	Query length: 1000 bp	49515	Blastn	49515	100.0000	4951383
GCF_000013425.1	100	Query length: 1000 bp	28215	Blastn	28215	100.0000	2821361
GCF_000195955.2	100	Query length: 1000 bp	44116	Blastn	44107	99.9796	4411532
GCF_000240185.1	100	Query length: 1000 bp	56826	Blastn	56826	100.0000	5682322
GCF_001457635.1	100	Query length: 1000 bp	21110	Blastn	21110	100.0000	2110968
GCF_008632635.1	100	Query length: 1000 bp	39804	Blastn	39804	100.0000	3980230
GCF_018885085.1	100	Query length: 1000 bp	40960	Blastn	40960	100.0000	4095894
GCF_022869705.1	100	Query length: 1000 bp	28670	Blastn	28670	100.0000	2866948
GCF_000005845.2	100	Query length: 1000 bp	46416	Blastn(ws=15)	46416	100.0000	4641652
GCF_000006765.1	100	Query length: 1000 bp	62643	Blastn(ws=15)	62643	100.0000	6264404
GCF_000006945.2	100	Query length: 1000 bp	49515	Blastn(ws=15)	49515	100.0000	4951383
GCF_000013425.1	100	Query length: 1000 bp	28215	Blastn(ws=15)	28215	100.0000	2821361
GCF_000195955.2	100	Query length: 1000 bp	44116	Blastn(ws=15)	44116	100.0000	4411532
GCF_000240185.1	100	Query length: 1000 bp	56826	Blastn(ws=15)	56826	100.0000	5682322
GCF_001457635.1	100	Query length: 1000 bp	21110	Blastn(ws=15)	21110	100.0000	2110968
GCF_008632635.1	100	Query length: 1000 bp	39804	Blastn(ws=15)	39804	100.0000	3980230
GCF_018885085.1	100	Query length: 1000 bp	40960	Blastn(ws=15)	40960	100.0000	4095894
GCF_022869705.1	100	Query length: 1000 bp	28670	Blastn(ws=15)	28670	100.0000	2866948
GCF_000005845.2	100	Query length: 1000 bp	46416	COBS	46416	100.00	4641652
GCF_000006765.1	100	Query length: 1000 bp	62643	COBS	62643	100.00	6264404
GCF_000006945.2	100	Query length: 1000 bp	49515	COBS	49515	100.00	4951383
GCF_000013425.1	100	Query length: 1000 bp	28215	COBS	28215	100.00	2821361
GCF_000195955.2	100	Query length: 1000 bp	44116	COBS	44116	100.00	4411532
GCF_000240185.1	100	Query length: 1000 bp	56826	COBS	56826	100.00	5682322
GCF_001457635.1	100	Query length: 1000 bp	21110	COBS	21110	100.00	2110968
GCF_008632635.1	100	Query length: 1000 bp	39804	COBS	39804	100.00	3980230
GCF_018885085.1	100	Query length: 1000 bp	40960	COBS	40960	100.00	4095894
GCF_022869705.1	100	Query length: 1000 bp	28670	COBS	28670	100.00	2866948
GCF_000005845.2	100	Query length: 1000 bp	46416	LexicMap	46416	100.0000	4641652
GCF_000006765.1	100	Query length: 1000 bp	62643	LexicMap	62643	100.0000	6264404
GCF_000006945.2	100	Query length: 1000 bp	49515	LexicMap	49515	100.0000	4951383
GCF_000013425.1	100	Query length: 1000 bp	28215	LexicMap	28215	100.0000	2821361
GCF_000195955.2	100	Query length: 1000 bp	44116	LexicMap	44116	100.0000	4411532
GCF_000240185.1	100	Query length: 1000 bp	56826	LexicMap	56826	100.0000	5682322
GCF_001457635.1	100	Query length: 1000 bp	21110	LexicMap	21110	100.0000	2110968
GCF_008632635.1	100	Query length: 1000 bp	39804	LexicMap	39804	100.0000	3980230
GCF_018885085.1	100	Query length: 1000 bp	40960	LexicMap	40960	100.0000	4095894
GCF_022869705.1	100	Query length: 1000 bp	28670	LexicMap	28670	100.0000	2866948
GCF_000005845.2	100	Query length: 1000 bp	46416	MMseqs2	46416	100.0000	4641652
GCF_000006765.1	100	Query length: 1000 bp	62643	MMseqs2	62643	100.0000	6264404
GCF_000006945.2	100	Query length: 1000 bp	49515	MMseqs2	49485	99.9394	4951383
GCF_000013425.1	100	Query length: 1000 bp	28215	MMseqs2	28214	99.9965	2821361
GCF_000195955.2	100	Query length: 1000 bp	44116	MMseqs2	44100	99.9637	4411532
GCF_000240185.1	100	Query length: 1000 bp	56826	MMseqs2	56809	99.9701	5682322
GCF_001457635.1	100	Query length: 1000 bp	21110	MMseqs2	21085	99.8816	2110968
GCF_008632635.1	100	Query length: 1000 bp	39804	MMseqs2	39792	99.9699	3980230
GCF_018885085.1	100	Query length: 1000 bp	40960	MMseqs2	40822	99.6631	4095894
GCF_022869705.1	100	Query length: 1000 bp	28670	MMseqs2	28670	100.0000	2866948
GCF_000005845.2	100	Query length: 1000 bp	46416	Minimap2	46408	99.9828	4641652
GCF_000006765.1	100	Query length: 1000 bp	62643	Minimap2	62643	100.0000	6264404
GCF_000006945.2	100	Query length: 1000 bp	49515	Minimap2	49515	100.0000	4951383
GCF_000013425.1	100	Query length: 1000 bp	28215	Minimap2	28215	100.0000	2821361
GCF_000195955.2	100	Query length: 1000 bp	44116	Minimap2	44077	99.9116	4411532
GCF_000240185.1	100	Query length: 1000 bp	56826	Minimap2	56763	99.8891	5682322
GCF_001457635.1	100	Query length: 1000 bp	21110	Minimap2	21110	100.0000	2110968
GCF_008632635.1	100	Query length: 1000 bp	39804	Minimap2	39804	100.0000	3980230
GCF_018885085.1	100	Query length: 1000 bp	40960	Minimap2	40816	99.6484	4095894
GCF_022869705.1	100	Query length: 1000 bp	28670	Minimap2	28670	100.0000	2866948
GCF_000005845.2	100	Query length: 1000 bp	46416	Ropebwt3	46274	99.6941	4641652
GCF_000006765.1	100	Query length: 1000 bp	62643	Ropebwt3	62448	99.6887	6264404
GCF_000006945.2	100	Query length: 1000 bp	49515	Ropebwt3	49298	99.5617	4951383
GCF_000013425.1	100	Query length: 1000 bp	28215	Ropebwt3	28155	99.7873	2821361
GCF_000195955.2	100	Query length: 1000 bp	44116	Ropebwt3	44017	99.7756	4411532
GCF_000240185.1	100	Query length: 1000 bp	56826	Ropebwt3	56407	99.2627	5682322
GCF_001457635.1	100	Query length: 1000 bp	21110	Ropebwt3	20880	98.9105	2110968
GCF_008632635.1	100	Query length: 1000 bp	39804	Ropebwt3	39534	99.3217	3980230
GCF_018885085.1	100	Query length: 1000 bp	40960	Ropebwt3	40617	99.1626	4095894
GCF_022869705.1	100	Query length: 1000 bp	28670	Ropebwt3	28579	99.6826	2866948
GCF_000005845.2	100	Query length: 2000 bp	69634	Blastn	69634	100.0000	4641652
GCF_000006765.1	100	Query length: 2000 bp	93974	Blastn	93974	100.0000	6264404
GCF_000006945.2	100	Query length: 2000 bp	74286	Blastn	74286	100.0000	4951383
GCF_000013425.1	100	Query length: 2000 bp	42328	Blastn	42328	100.0000	2821361
GCF_000195955.2	100	Query length: 2000 bp	66181	Blastn	66181	100.0000	4411532
GCF_000240185.1	100	Query length: 2000 bp	85289	Blastn	85289	100.0000	5682322
GCF_001457635.1	100	Query length: 2000 bp	31671	Blastn	31671	100.0000	2110968
GCF_008632635.1	100	Query length: 2000 bp	59718	Blastn	59718	100.0000	3980230
GCF_018885085.1	100	Query length: 2000 bp	61449	Blastn	61449	100.0000	4095894
GCF_022869705.1	100	Query length: 2000 bp	43012	Blastn	43012	100.0000	2866948
GCF_000005845.2	100	Query length: 2000 bp	69634	Blastn(ws=15)	69634	100.0000	4641652
GCF_000006765.1	100	Query length: 2000 bp	93974	Blastn(ws=15)	93974	100.0000	6264404
GCF_000006945.2	100	Query length: 2000 bp	74286	Blastn(ws=15)	74286	100.0000	4951383
GCF_000013425.1	100	Query length: 2000 bp	42328	Blastn(ws=15)	42328	100.0000	2821361
GCF_000195955.2	100	Query length: 2000 bp	66181	Blastn(ws=15)	66181	100.0000	4411532
GCF_000240185.1	100	Query length: 2000 bp	85289	Blastn(ws=15)	85289	100.0000	5682322
GCF_001457635.1	100	Query length: 2000 bp	31671	Blastn(ws=15)	31671	100.0000	2110968
GCF_008632635.1	100	Query length: 2000 bp	59718	Blastn(ws=15)	59718	100.0000	3980230
GCF_018885085.1	100	Query length: 2000 bp	61449	Blastn(ws=15)	61449	100.0000	4095894
GCF_022869705.1	100	Query length: 2000 bp	43012	Blastn(ws=15)	43012	100.0000	2866948
GCF_000005845.2	100	Query length: 2000 bp	69634	COBS	69634	100.00	4641652
GCF_000006765.1	100	Query length: 2000 bp	93974	COBS	93974	100.00	6264404
GCF_000006945.2	100	Query length: 2000 bp	74286	COBS	74286	100.00	4951383
GCF_000013425.1	100	Query length: 2000 bp	42328	COBS	42328	100.00	2821361
GCF_000195955.2	100	Query length: 2000 bp	66181	COBS	66181	100.00	4411532
GCF_000240185.1	100	Query length: 2000 bp	85289	COBS	85289	100.00	5682322
GCF_001457635.1	100	Query length: 2000 bp	31671	COBS	31671	100.00	2110968
GCF_008632635.1	100	Query length: 2000 bp	59718	COBS	59718	100.00	3980230
GCF_018885085.1	100	Query length: 2000 bp	61449	COBS	61449	100.00	4095894
GCF_022869705.1	100	Query length: 2000 bp	43012	COBS	43012	100.00	2866948
GCF_000005845.2	100	Query length: 2000 bp	69634	LexicMap	69634	100.0000	4641652
GCF_000006765.1	100	Query length: 2000 bp	93974	LexicMap	93974	100.0000	6264404
GCF_000006945.2	100	Query length: 2000 bp	74286	LexicMap	74286	100.0000	4951383
GCF_000013425.1	100	Query length: 2000 bp	42328	LexicMap	42328	100.0000	2821361
GCF_000195955.2	100	Query length: 2000 bp	66181	LexicMap	66181	100.0000	4411532
GCF_000240185.1	100	Query length: 2000 bp	85289	LexicMap	85289	100.0000	5682322
GCF_001457635.1	100	Query length: 2000 bp	31671	LexicMap	31671	100.0000	2110968
GCF_008632635.1	100	Query length: 2000 bp	59718	LexicMap	59718	100.0000	3980230
GCF_018885085.1	100	Query length: 2000 bp	61449	LexicMap	61449	100.0000	4095894
GCF_022869705.1	100	Query length: 2000 bp	43012	LexicMap	43012	100.0000	2866948
GCF_000005845.2	100	Query length: 2000 bp	69634	MMseqs2	69632	99.9971	4641652
GCF_000006765.1	100	Query length: 2000 bp	93974	MMseqs2	93972	99.9979	6264404
GCF_000006945.2	100	Query length: 2000 bp	74286	MMseqs2	74273	99.9825	4951383
GCF_000013425.1	100	Query length: 2000 bp	42328	MMseqs2	42328	100.0000	2821361
GCF_000195955.2	100	Query length: 2000 bp	66181	MMseqs2	66158	99.9652	4411532
GCF_000240185.1	100	Query length: 2000 bp	85289	MMseqs2	85275	99.9836	5682322
GCF_001457635.1	100	Query length: 2000 bp	31671	MMseqs2	31647	99.9242	2110968
GCF_008632635.1	100	Query length: 2000 bp	59718	MMseqs2	59718	100.0000	3980230
GCF_018885085.1	100	Query length: 2000 bp	61449	MMseqs2	61352	99.8421	4095894
GCF_022869705.1	100	Query length: 2000 bp	43012	MMseqs2	43012	100.0000	2866948
GCF_000005845.2	100	Query length: 2000 bp	69634	Minimap2	69634	100.0000	4641652
GCF_000006765.1	100	Query length: 2000 bp	93974	Minimap2	93974	100.0000	6264404
GCF_000006945.2	100	Query length: 2000 bp	74286	Minimap2	74286	100.0000	4951383
GCF_000013425.1	100	Query length: 2000 bp	42328	Minimap2	42328	100.0000	2821361
GCF_000195955.2	100	Query length: 2000 bp	66181	Minimap2	66181	100.0000	4411532
GCF_000240185.1	100	Query length: 2000 bp	85289	Minimap2	85266	99.9730	5682322
GCF_001457635.1	100	Query length: 2000 bp	31671	Minimap2	31671	100.0000	2110968
GCF_008632635.1	100	Query length: 2000 bp	59718	Minimap2	59718	100.0000	3980230
GCF_018885085.1	100	Query length: 2000 bp	61449	Minimap2	61361	99.8568	4095894
GCF_022869705.1	100	Query length: 2000 bp	43012	Minimap2	43012	100.0000	2866948
GCF_000005845.2	100	Query length: 2000 bp	69634	Ropebwt3	69603	99.9555	4641652
GCF_000006765.1	100	Query length: 2000 bp	93974	Ropebwt3	93790	99.8042	6264404
GCF_000006945.2	100	Query length: 2000 bp	74286	Ropebwt3	74083	99.7267	4951383
GCF_000013425.1	100	Query length: 2000 bp	42328	Ropebwt3	42308	99.9527	2821361
GCF_000195955.2	100	Query length: 2000 bp	66181	Ropebwt3	66181	100.0000	4411532
GCF_000240185.1	100	Query length: 2000 bp	85289	Ropebwt3	85060	99.7315	5682322
GCF_001457635.1	100	Query length: 2000 bp	31671	Ropebwt3	31464	99.3464	2110968
GCF_008632635.1	100	Query length: 2000 bp	59718	Ropebwt3	59467	99.5797	3980230
GCF_018885085.1	100	Query length: 2000 bp	61449	Ropebwt3	61195	99.5866	4095894
GCF_022869705.1	100	Query length: 2000 bp	43012	Ropebwt3	42971	99.9047	2866948
GCF_000005845.2	99	Query length: 250 bp	350234	Blastn	350230	99.9989	4641652
GCF_000006765.1	99	Query length: 250 bp	474048	Blastn	474039	99.9981	6264404
GCF_000006945.2	99	Query length: 250 bp	374153	Blastn	374120	99.9912	4951383
GCF_000013425.1	99	Query length: 250 bp	213141	Blastn	213126	99.9930	2821361
GCF_000195955.2	99	Query length: 250 bp	333553	Blastn	332088	99.5608	4411532
GCF_000240185.1	99	Query length: 250 bp	429764	Blastn	429763	99.9998	5682322
GCF_001457635.1	99	Query length: 250 bp	159158	Blastn	159157	99.9994	2110968
GCF_008632635.1	99	Query length: 250 bp	300880	Blastn	300828	99.9827	3980230
GCF_018885085.1	99	Query length: 250 bp	309183	Blastn	308721	99.8506	4095894
GCF_022869705.1	99	Query length: 250 bp	216587	Blastn	216583	99.9982	2866948
GCF_000005845.2	99	Query length: 250 bp	350234	Blastn(ws=15)	350233	99.9997	4641652
GCF_000006765.1	99	Query length: 250 bp	474048	Blastn(ws=15)	474046	99.9996	6264404
GCF_000006945.2	99	Query length: 250 bp	374153	Blastn(ws=15)	374129	99.9936	4951383
GCF_000013425.1	99	Query length: 250 bp	213141	Blastn(ws=15)	213137	99.9981	2821361
GCF_000195955.2	99	Query length: 250 bp	333553	Blastn(ws=15)	332987	99.8303	4411532
GCF_000240185.1	99	Query length: 250 bp	429764	Blastn(ws=15)	429763	99.9998	5682322
GCF_001457635.1	99	Query length: 250 bp	159158	Blastn(ws=15)	159157	99.9994	2110968
GCF_008632635.1	99	Query length: 250 bp	300880	Blastn(ws=15)	300869	99.9963	3980230
GCF_018885085.1	99	Query length: 250 bp	309183	Blastn(ws=15)	309079	99.9664	4095894
GCF_022869705.1	99	Query length: 250 bp	216587	Blastn(ws=15)	216587	100.0000	2866948
GCF_000005845.2	99	Query length: 250 bp	350234	COBS	350234	100.00	4641652
GCF_000006765.1	99	Query length: 250 bp	474048	COBS	474048	100.00	6264404
GCF_000006945.2	99	Query length: 250 bp	374153	COBS	374153	100.00	4951383
GCF_000013425.1	99	Query length: 250 bp	213141	COBS	213141	100.00	2821361
GCF_000195955.2	99	Query length: 250 bp	333553	COBS	333553	100.00	4411532
GCF_000240185.1	99	Query length: 250 bp	429764	COBS	429764	100.00	5682322
GCF_001457635.1	99	Query length: 250 bp	159158	COBS	159158	100.00	2110968
GCF_008632635.1	99	Query length: 250 bp	300880	COBS	300880	100.00	3980230
GCF_018885085.1	99	Query length: 250 bp	309183	COBS	309183	100.00	4095894
GCF_022869705.1	99	Query length: 250 bp	216587	COBS	216587	100.00	2866948
GCF_000005845.2	99	Query length: 250 bp	350234	LexicMap	350234	100.0000	4641652
GCF_000006765.1	99	Query length: 250 bp	474048	LexicMap	474045	99.9994	6264404
GCF_000006945.2	99	Query length: 250 bp	374153	LexicMap	374150	99.9992	4951383
GCF_000013425.1	99	Query length: 250 bp	213141	LexicMap	213127	99.9934	2821361
GCF_000195955.2	99	Query length: 250 bp	333553	LexicMap	333504	99.9853	4411532
GCF_000240185.1	99	Query length: 250 bp	429764	LexicMap	429763	99.9998	5682322
GCF_001457635.1	99	Query length: 250 bp	159158	LexicMap	159129	99.9818	2110968
